x,y,z,cluster,searches,appid
-11.839329,-8.058089,-3.2023919,2,pdx gas,6e7fe213-404b-4883-8d01-4b229d7bb200
-12.623878,1.4707502,-12.904522,2,gas restaurant,b5365365-017c-49b4-b8cf-e97e561a23ab
12.812103,-1.0081007,19.149307,2,mami detroit mi detroit mi miami fl miami,12412a8a-0163-44d7-8e41-d610d87cac59
2.684135,5.627738,6.3449264,2,"2401 Evesham Road, Voorhees, NJ",DC3D7305-0AF9-4A9C-8396-122CE787A8E0
4.373505,-1.8130841,27.920832,3,"1318 Riverfield court, valrico Fl 27.840113, -82.483221 home 6202 brandon circle, riverview fl SW Taylor County Rd Greenville, FL 32331 Latitude: 30.3493, Longitude: -83.6002 2102 24th south east ave, ruskin fl 3211 Hurley Grove way Valrico reeves bmw tampa 4646 9th Ave West Bradenton FL 34209",AB8F7EAA-568E-450F-8BF7-6C7442EBEA92
-1.7925001,-24.938042,-5.7359996,2,1096 Paradise Coach Drive 1096 Paradise Coach Drive,CB159752-6B75-4DA0-AAE7-4C01A92FE114
13.834937,3.2101054,11.043514,2,Midwest jewelry 1340 e 86th st Indianapolis I atm,9CFD12E5-635E-47A5-9604-C0FE1AB0CB75
6.5121365,-10.239568,-23.862675,2,coffee,b395d5fc-0106-4e62-aee9-2d9044b6e001
12.44237,-6.0342517,20.395706,2,to olando on vacation on vacation olando Florida olando Florida to Florida j,5abed95e-4c3e-4cc4-946e-07858ee29883
-9.602039,19.056072,-16.309496,2,atm gas coffee,508A0EC9-5495-4318-B7EF-9C56A2B6E985
-8.5162325,-4.867546,-19.153349,2,ANOTHER BARBERSHOP,6184cfd0-3aa2-46c1-9621-e56d3d670ac6
16.727682,-6.6517177,-10.913526,2,Track's Beach office max wailele,aa3612fd-2f88-441e-9c0c-a8aa9b32a923
-9.872752,-2.8610377,15.515821,0,"Kelowna, BC, Canada V1X 7Z2 247 E Kimberly Ct, San Bernardino, CA 92408, USA 247 e Kimberly",086f1d1a-a97e-4a07-b1ca-b399d5155b73
21.005835,2.5038855,-7.854264,2,Kennesaw house Kennesaw house Marietta museum of history Marietta,cf6d7713-949a-4d3c-9c7f-d687cef3f3de
3.3585157,-4.7609663,-12.612409,2,"restaurant Bluff City, Va",28281b3d-128b-40ad-b102-81dc820ca65a
-20.84653,15.646157,14.136161,4,coffee insomnia dutch safeway coffee coffee coffee coffee coffee coffee coffee coffee coffee tigard 'Coffee' -starbucks coffee coffee,41e4a8e6-3dd5-45bf-8d69-1c4143d703d3
3.7364454,25.163363,7.3592596,2,"palo,ia palo, ia",3c48e3bd-1e13-43a3-b9c2-c9d642184e98
2.2834926,-21.339085,4.295047,2,"jackson, wy jackson, wyoming yellowstone",53f3f9a8-b06f-4328-b8e5-83b1226f616b
-0.7963029,-4.2239966,20.26354,0,511 east tennessee st. florence al 35630 United States 501 e dr. hicks florence al 35630 501 e dr. hicks florence al 35630,301bd2f3-75ee-4ff4-aa98-90918f4e8038
7.9546432,-1.5642886,0.5540244,2,1771rockwater road 30066 100 summer street Adairsville ha 30103,12286896-D86C-4A9C-B7D6-4DA6E7F6106C
0.70346254,-0.8611088,3.0390387,2,"88 mallard lane kensington, ct",e099a709-20ab-40fb-91d0-aeeca18f6ca9
11.069452,12.972329,-0.59528106,2,grocery 1 aquarium drive secaucus nj,4C7E2F0F-B064-4A9F-A95E-50CECE33DADA
7.9690075,9.309001,-4.4882765,2,cottonwood mall,8E912872-13E9-4559-814B-310B3427DFB9
-11.825817,1.401772,-13.226518,2,"gas restaurant 40.18139758116419,-122.22335542716462",5afe0c29-67c4-400c-92d1-c7f93619f706
15.648483,0.15764979,-5.5587263,2,Tuttle town N.Y.,F4B32401-9474-4A60-A6DA-96E0A5BFC866
-12.994384,-14.739923,7.5148478,0,"Las Vegas NV 89131 US gas atm 2475 W Horizon Ridge Pkwy #120
Henderson Nev. 89052 gas",30e34641-071d-47ab-b130-5cf27793db6c
9.275717,15.184456,-5.9739475,2,"general store, Presho, sd",def99b46-853b-45c1-afd7-e0ae0d31f05d
3.293757,12.028967,10.953984,0,"TM Morley trucking Costco distribution center New Jersey Costco distribution center in New Jersey Warner new york 42.69728372274571,-83.56526776492814 42.69726373150033,-83.56532439021096",0a80c40f-50bb-4a1d-b452-a76e82d551a4
11.476847,-5.668515,17.957014,2,"Roswell, green cove springs john Podhany coffee Jacksonville, Florida",9a01ff93-6486-4060-bf78-dcfc36e1231c
22.863188,-2.8124015,-4.841,2,home,CECE9812-C853-43A7-92BC-40B50168D6B7
6.473177,2.719163,29.315664,3,"39 union street rockland Maine 39 union street rockland Maine Sanborns grove Sanborns grove Bridgton me Sanborns grove road, Bridgton ME 21 Portland street, fryeburg maine coffee food Maine state house Augusta maine 3 state house station Augusta Maine 3 state house,  Augusta Maine",BFEE0139-D50C-4D13-B35B-CE6DA2CF5110
15.272007,-7.3438687,15.154451,2,Orlando,CD17F577-4614-4D8A-A534-09CAB904F69E
3.2861118,11.770511,16.200748,0,"106 Macon street New York 106 Macon street, Brooklyn, Ny 106 Macon street, Brooklyn, Ny 183 South Ogden 80209 natural grocers  Tennyson natural grocers 44th 3655 Glencoe st. grocery Berkeley lake park the Lori Denver little man",0000CEA5-A5B9-4950-83DA-0C007A8B3280
-15.46584,20.088875,13.541718,4,California ave. los angeles los angeles los angeles California los angeles California gas grocery coffee atm food asean food pilipino restaurants sta monica California food food food food Bjs food Bjs restaurant food food food,3F5FDE7D-CA18-4DBF-A132-26C081A6812A
9.016042,-12.318079,9.334006,2,800 rose st Lexington Ky,CF3DD108-B03D-42D0-B6D0-4AE959F5C4EA
10.454568,4.473487,13.384203,2,"1432 320th Place SW
Federal Way , WA  98023 35.16150906647417,-106.62710340437438 atm atm Seattle Seattle",81c85d0a-2a85-4cdc-bd76-dd18ccaefdad
14.891457,-1.9476086,-11.20229,2,Kinko’s Kinko’s 30084,D2430225-664F-4666-A3A5-52CB23049E47
7.381785,-4.657908,-29.401754,2,coffee,A2010063-64D7-486F-AF09-E17B64038D34
-12.72357,13.711007,5.956333,4,gas covid 19 gas yes grocery atm coffee gas grocery,a738fdab-1043-43f6-b0fe-c26c73c821af
-16.338057,-14.431941,-4.0995464,2,gas,55a7ed72-7e22-49ab-a921-03dfb83ad768
2.0301394,-12.695641,3.183044,2,CSL Plasma Davenport Iowa,1c93ec81-e8bc-4abe-a44b-17fa93bc3a41
-4.2921476,12.535976,16.633627,0,"grocery gas coffee target store target in roxborough target store in roxborough target store in roxborough pa 7162 ridge ave 39.817469, -75.249405 7162 ridge ave 39.931380, -75.237785 7162 ridge ave 7162 ridge ave 40.011026, -75.210151",0C0584A9-FC8C-4C02-872C-6119F1345BC6
6.045944,-13.725973,20.012495,0,"Detroit Michigan Parkside, Detroit Michigan Parkside Detroit Michigan Parkside, Detroit Michigan 18437 Parkside, Detroit Michigan",25eab6f5-31dd-4dc7-a973-d64d6c07c498
-7.3738832,11.858246,-18.2898,2,coffee food gas,7D362A73-12EF-473C-B89C-72D4C33D46DF
-9.817755,13.918645,11.09854,6,food food food food gas gas gas coffee grocery food atm grocery ojo de agua santiago Maravatio Guanajuato MC ojo de agua santiago Maravatio Guanajuato MC atm food gas gas gas cheap gas cheap gasnearby gas atm gas coffee food grocery gas gas,C8B2A346-04ED-4043-9EF3-D9042BC13B1F
14.592431,4.903862,-17.03219,2,food,66493ADF-9FCA-49DC-AACA-50F289DD588D
-15.580495,8.840452,-17.686764,2,gas gas coffee coffee,b71274b1-55ca-4988-9f4c-3b5453b45f5b
-18.019728,-12.417032,-7.6837754,2,gas,C74C1DDD-0D1E-4092-BD62-832FF2A0FB9A
-14.441797,10.855437,0.60226333,4,atm coffee restaurant gas gas coffee,98a6c635-e244-4f65-a0a8-f29b4ba6540b
-0.83314687,4.387709,17.089088,0,"gas 650 e Indian school Road 33.495656, -112.084128 650 E. Indian School Rd. 650 E. Indian School Rd.",A44B3AD6-CC46-49F8-9450-430BB0BB09A1
4.8424926,4.232265,8.128001,2,"uruhuay uruguay 319 rambla Montevideo Uruguay 123 new st johnstown Pennsylvania 1423 ural dr aldie Virginia 40.147707729482306,-76.34708108574036 40.28532089343423,-76.57878999703114",4643c0e7-0158-4109-9360-e59aac17e810
7.180848,-9.218806,23.334148,0,"coffee Cherokee Cherokee , NC 33.853960, -78.622745 Cherokee Casino Cherokee Casino Cherokee Casino Cherokee Casino Charleston Charleston, SC Charleston, SC 33.856401, -78.622123 33.853936, -78.622595 gas",56F34962-10E7-482C-9521-6D5CD2936834
1.7066976,-7.1329403,-11.033141,2,"harbor freight Morehead City 34.72770045959486,-76.79674377322787",49e0e205-1883-4f94-8e69-20c075771c1a
3.9142265,-18.481524,-2.9754786,2,"andersson. ,",1722a5cb-b4c4-40fe-a948-3950a0bd6654
3.0183885,-10.02935,-12.104267,2,Lafayette airport,A36D3903-1903-41E1-AC0E-4E0E84ADFE77
-10.939312,13.513069,6.7535124,4,gas 5231 Route 30 West 5231 route 30 w gas gas Excela Square gas grocery food shopping coffee atm,5E3752BB-180F-47EA-A4B8-1C9A1BB82A39
-1.7686839,-0.2126604,-14.029002,2,McDonald's near me McDonald's McDonald's,fbf0bb67-ff3b-4e0f-91b8-6f1693b93962
